Fiyat,Marka,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Agirlik,Silindir_Sayisi,Maksimum Hız
439500.0,Fiat,2013,175000.0,Düz,Dizel,Sedan,Gri,1248,95,Önden Çekiş,4.9,45,1500,4.0,188
1059000.0,Honda,2019,47000.0,Otomatik,Benzin,Sedan,Beyaz,1597,125,Önden Çekiş,6.3,46,1620,4.0,174
534750.0,Citroen,2017,168000.0,Düz,Dizel,Sedan,Beyaz,1560,93,Önden Çekiş,4.3,48,1620,4.0,174
750000.0,Toyota,2017,148500.0,Düz,Dizel,Sedan,Beyaz,1364,90,Önden Çekiş,4.1,55,1708,4.0,176
625000.0,Renault,2012,210500.0,Yarı Otomatik,Dizel,Sedan,Gri,1461,110,Önden Çekiş,4.4,60,1660,4.0,170
985000.0,Renault,2019,130000.0,Yarı Otomatik,Dizel,Bilinmiyor,Diğer,1461,110,Önden Çekiş,3.8,49,1555,4.0,180
540000.0,Renault,2010,138800.0,Otomatik,Benzin,Bilinmiyor,Diğer,1149,75,Önden Çekiş,5.6,55,1780,4.0,180
735000.0,Ford,2013,155000.0,Düz,Dizel,Hatchback/5,Gri,1560,95,Önden Çekiş,4.2,53,1485,4.0,170
712500.0,Ford,2016,100000.0,Düz,Benzin,Hatchback/5,Beyaz,1388,96,Önden Çekiş,5.7,42,2010,6.0,210
509000.0,Fiat,2015,150500.0,Düz,Dizel,Sedan,Gri (metalik),1248,95,Önden Çekiş,4.9,45,1675,4.0,186
540000.0,Honda,2009,340000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1339,100,Önden Çekiş,6.4,42,1580,4.0,171
1100000.0,Toyota,2021,39000.0,Otomatik,Hibrit,Sedan,Gri,1798,98,Önden Çekiş,3.5,43,1900,4.0,180
505950.0,Renault,2012,204000.0,Düz,Dizel,Sedan,Gri,1461,90,Önden Çekiş,4.4,60,1795,4.0,190
860000.0,Toyota,2016,140200.0,Yarı Otomatik,Dizel,Sedan,Kahverengi,1364,90,Önden Çekiş,4.1,55,1530,4.0,175
655000.0,Renault,2013,215000.0,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1461,110,Önden Çekiş,4.4,60,1660,4.0,170
1099000.0,Ford,2019,70000.0,Otomatik,Dizel,Sedan,Kahverengi,1500,120,Önden Çekiş,4.3,47,1771,4.0,180
474950.0,Ford,2011,223000.0,Düz,Dizel,Hatchback/5,Gri (Gümüş),1398,70,Önden Çekiş,4.2,45,1780,4.0,180
639000.0,Fiat,2020,109421.0,Düz,Dizel,Sedan,Beyaz,1248,95,Önden Çekiş,4.1,45,1814,4.0,185
519500.0,Opel,2014,86000.0,Düz,Dizel,Hatchback/5,Beyaz,1248,75,Önden Çekiş,4.2,45,1699,4.0,178
555000.0,Audi,2010,264000.0,Yarı Otomatik,Benzin,Hatchback/3,Siyah,1595,102,Önden Çekiş,6.7,55,1707,4.0,192
929750.0,Ford,2018,45000.0,Düz,LPG & Benzin,Sedan,Beyaz,1596,125,Önden Çekiş,6.0,55,1579,4.0,162
399000.0,Honda,2005,197000.0,Otomatik,Benzin,Hatchback/5,Mavi,1339,83,Önden Çekiş,5.9,42,1730,4.0,183
405000.0,Renault,2008,310000.0,Otomatik,Dizel,Sedan,Gri (Gümüş),1461,100,Önden Çekiş,4.9,60,1565,4.0,163
1750000.0,Volkswagen,2022,75000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1498,150,Önden Çekiş,5.3,66,1780,4.0,185
1100000.0,BMW,2016,78000.0,Otomatik,Dizel,MPV,Lacivert,1496,116,Önden Çekiş,4.0,51,2110,4.0,210
985000.0,BMW,2010,95000.0,Otomatik,Benzin,Sedan,Siyah,1596,116,Arkadan İtiş,7.9,63,1900,4.0,192
850000.0,Ford,2014,128000.0,Düz,Dizel,Sedan,Beyaz,1560,115,Önden Çekiş,4.2,53,1852,4.0,190
850000.0,Ford,2017,69974.0,Yarı Otomatik,Dizel,Sedan,Gri,1499,120,Önden Çekiş,4.2,55,1725,4.0,182
699000.0,Honda,2009,220000.0,Otomatik,LPG & Benzin,Sedan,Siyah,1595,125,Önden Çekiş,7.1,50,1920,3.0,195
640000.0,Seat,2014,25000.0,Düz,Benzin,Hatchback/5,Beyaz,1390,85,Önden Çekiş,5.9,45,1860,4.0,203
695000.0,Fiat,2016,90200.0,Düz,Dizel,MPV,Kırmızı,1598,120,Önden Çekiş,4.2,50,1880,4.0,209
825000.0,Opel,2017,42600.0,Otomatik,Benzin,Hatchback/5,Mavi,1399,150,Önden Çekiş,5.5,52,1900,4.0,193
320000.0,Renault,2001,255000.0,Düz,Benzin,Hatchback/5,Gri,1390,98,Önden Çekiş,6.7,50,1526,4.0,177
1025000.0,Volkswagen,2015,88000.0,Düz,Benzin,Sedan,Beyaz,1395,125,Önden Çekiş,5.3,66,1550,4.0,177
525000.0,Opel,2006,277000.0,Düz,LPG & Benzin,Sedan,Bej,1598,105,Önden Çekiş,6.9,61,1885,4.0,190
347500.0,Peugeot,2001,155000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1587,109,Önden Çekiş,8.8,50,1545,4.0,185
1048000.0,Ford,2019,95000.0,Otomatik,Dizel,Station wagon,Gri (titanyum),1500,120,Önden Çekiş,4.3,47,1609,4.0,167
664750.0,Opel,2012,66000.0,Düz,Benzin,Sedan,Mavi (metalik),1598,115,Önden Çekiş,6.8,52,1609,4.0,167
735000.0,Ford,2018,122500.0,Düz,Dizel,Sedan,Beyaz,1500,120,Önden Çekiş,3.4,47,1995,4.0,208
737000.0,Renault,2018,78000.0,Düz,Dizel,Station wagon,Beyaz,1461,75,Önden Çekiş,3.6,45,1550,4.0,200
575000.0,Renault,2016,145000.0,Düz,Dizel,Sedan,Beyaz,1461,90,Önden Çekiş,3.9,50,1785,4.0,193
955000.0,Ford,2020,66000.0,Otomatik,Dizel,Sedan,Beyaz,1500,120,Önden Çekiş,4.3,47,1996,4.0,196
1049000.0,Peugeot,2019,162000.0,Otomatik,Dizel,Sedan,Füme,1499,130,Önden Çekiş,3.8,55,1647,4.0,168
908000.0,Renault,2018,116000.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1461,110,Önden Çekiş,3.7,47,1609,4.0,167
580000.0,Ford,2011,218345.0,Düz,Dizel,Sedan,Gri (Gümüş),1560,115,Önden Çekiş,4.2,53,1566,4.0,190
860000.0,Volkswagen,2015,65000.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197,90,Önden Çekiş,4.7,45,1730,4.0,192
3400000.0,BMW,2022,19600.0,Otomatik,Benzin,Bilinmiyor,Yeşil,1597,170,Arkadan İtiş,6.1,59,1951,4.0,187
1760000.0,Audi,2017,98000.0,Yarı Otomatik,Benzin,Sedan,Gri,1395,150,Önden Çekiş,5.2,54,1900,4.0,193
730000.0,Fiat,2023,11000.0,Düz,Benzin,Sedan,Füme,1368,95,Önden Çekiş,6.4,45,1727,4.0,184
579900.0,Volkswagen,2014,325000.0,Yarı Otomatik,Dizel,Sedan,Gri,1598,105,Önden Çekiş,4.7,55,1970,4.0,230
820000.0,Renault,2021,100000.0,Düz,Benzin,Sedan,Beyaz,1332,140,Önden Çekiş,5.7,50,2028,4.0,197
310000.0,Volkswagen,1999,275000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1598,75,Önden Çekiş,6.9,45,1650,4.0,188
390000.0,Ford,2006,319000.0,Düz,LPG & Benzin,Hatchback/5,Bordo,1596,100,Önden Çekiş,6.7,55,1341,4.0,197
553000.0,Volkswagen,2012,185000.0,Düz,Dizel,Hatchback/5,Siyah,1199,75,Önden Çekiş,3.8,45,1920,4.0,190
695000.0,Renault,2017,214000.0,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1461,110,Önden Çekiş,3.8,49,1903,4.0,205
645000.0,Fiat,2018,82000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1598,120,Önden Çekiş,3.9,45,1325,4.0,172
650000.0,Renault,2016,250000.0,Düz,Dizel,Bilinmiyor,Diğer,1461,75,Önden Çekiş,3.6,45,1730,4.0,180
1089000.0,BMW,2012,188500.0,Otomatik,Benzin,Sedan,Siyah,1598,136,Arkadan İtiş,5.8,60,1620,3.0,170
417000.0,Renault,2013,206000.0,Düz,Dizel,Sedan,Beyaz,1461,75,Önden Çekiş,3.9,50,1820,4.0,200
859000.0,Mercedes - Benz,2012,143500.0,Yarı Otomatik,Benzin,MPV,Beyaz,1595,122,Önden Çekiş,5.9,56,1820,4.0,200
